,Protein,NClusters2,Labels_2,NClusters3,Labels_3,NClusters4,Labels_4,NClusters5,Labels_5,NClusters6,Labels_6,NClusters7,Labels_7,NClusters8,Labels_8,NClusters9,Labels_9,NClusters10,Labels_10,NClusters11,Labels_11,NClusters12,Labels_12,NClusters13,Labels_13,NClusters14,Labels_14,NClusters15,Labels_15,NClusters16,Labels_16,NClusters17,Labels_17,NClusters18,Labels_18,NClusters19,Labels_19,NClusters20,Labels_20,NClusters21,Labels_21,NClusters22,Labels_22,NClusters23,Labels_23,NClusters24,Labels_24,NClusters25,Labels_25,NClusters26,Labels_26,NClusters27,Labels_27,NClusters28,Labels_28,NClusters29,Labels_29
0,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,3,9,4,10,9,11,9,12,1,13,3,14,1,15,4,16,2,17,11,18,16,19,12,20,16,21,14,22,13,23,1,24,23,25,11,26,12,27,0,28,20,29,12
1,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,7,27,3,28,23,29,17
2,LEF1,2,0,3,1,4,0,5,0,6,1,7,0,8,3,9,4,10,9,11,7,12,4,13,3,14,1,15,0,16,9,17,12,18,15,19,7,20,16,21,14,22,3,23,4,24,22,25,11,26,0,27,15,28,2,29,21
3,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,19,24,8,25,12,26,7,27,3,28,23,29,17
4,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,7,27,3,28,23,29,12
5,LEF1,2,0,3,1,4,0,5,4,6,0,7,0,8,3,9,4,10,9,11,7,12,4,13,3,14,1,15,0,16,9,17,5,18,15,19,7,20,16,21,14,22,13,23,4,24,17,25,4,26,21,27,19,28,11,29,21
6,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,23,29,17
7,LEF1,2,0,3,2,4,2,5,1,6,3,7,6,8,2,9,2,10,3,11,0,12,3,13,2,14,7,15,11,16,7,17,4,18,12,19,8,20,5,21,17,22,0,23,2,24,18,25,9,26,3,27,24,28,14,29,22
8,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,7,27,0,28,23,29,17
9,LEF1,2,1,3,1,4,1,5,3,6,1,7,0,8,0,9,4,10,8,11,9,12,4,13,8,14,8,15,7,16,2,17,3,18,14,19,13,20,0,21,4,22,11,23,8,24,9,25,7,26,16,27,8,28,20,29,20
10,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,7,27,3,28,23,29,17
11,LEF1,2,0,3,1,4,0,5,4,6,4,7,0,8,0,9,4,10,5,11,9,12,4,13,3,14,12,15,0,16,9,17,5,18,1,19,7,20,0,21,19,22,13,23,12,24,20,25,4,26,21,27,19,28,11,29,21
12,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,5,13,1,14,13,15,12,16,5,17,11,18,13,19,2,20,17,21,5,22,1,23,9,24,1,25,10,26,2,27,11,28,27,29,23
13,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,23,29,17
14,LEF1,2,1,3,1,4,1,5,3,6,1,7,0,8,7,9,1,10,9,11,6,12,1,13,11,14,9,15,7,16,1,17,3,18,7,19,13,20,7,21,11,22,18,23,8,24,9,25,20,26,19,27,1,28,2,29,27
15,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,11,14,6,15,4,16,5,17,0,18,16,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,15,27,3,28,20,29,3
16,LEF1,2,0,3,2,4,0,5,0,6,0,7,0,8,3,9,4,10,5,11,9,12,5,13,12,14,13,15,12,16,2,17,16,18,2,19,2,20,19,21,5,22,1,23,9,24,20,25,10,26,2,27,23,28,12,29,25
17,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,24,29,17
18,LEF1,2,0,3,2,4,0,5,0,6,5,7,3,8,1,9,7,10,6,11,3,12,7,13,7,14,0,15,5,16,0,17,10,18,8,19,18,20,8,21,2,22,6,23,11,24,11,25,6,26,10,27,14,28,13,29,6
19,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,24,29,17
