n_clusters,s_score
2,0.165980786549
3,0.151223080754
4,0.153609641607
5,0.147449442259
6,0.118114380796
7,0.133620100345
8,0.117690170689
9,0.116316902064
10,0.108918223352
11,0.114731898725
12,0.0964899569218
13,0.113098902416
14,0.101996173925
15,0.106589980248
16,0.108667412212
17,0.114006577579
18,0.0922633539392
19,0.10535297094
20,0.0935716427439
21,0.10820831411
22,0.0955629446475
23,0.118490295556
24,0.103184881996
25,0.106467182661
26,0.108284333199
27,0.103021570682
28,0.104847981753
29,0.0971176542027
