,parent,child,lambda_val,child_size
0,15998,15955,1.956521739130435,1
1,15998,15967,1.9636363636363634,1
2,15998,15978,1.9926199261992619,1
3,15998,72,2.0,1
4,15998,15961,2.030075187969925,1
5,15998,15837,2.0377358490566038,1
6,15998,15950,2.0610687022900764,1
7,15998,15953,2.076923076923077,1
8,15998,15855,2.0849420849420848,1
9,15998,15884,2.093023255813953,1
10,15998,15994,2.1011673151750974,1
11,15998,15988,2.109375,1
12,15998,15906,2.1176470588235294,1
13,15998,15883,2.1259842519685037,1
14,15998,15903,2.1513944223107573,1
15,15998,70,2.1513944223107573,1
16,15998,15984,2.1686746987951806,1
17,15998,15763,2.1774193548387095,1
18,15998,17,2.1774193548387095,1
19,15998,7516,2.1951219512195124,1
20,15998,15999,2.204081632653061,15973
21,15998,16000,2.204081632653061,5
22,15999,15979,2.231404958677686,1
23,16000,15735,2.204081632653061,1
24,16000,15833,2.204081632653061,1
25,16000,15834,2.204081632653061,1
26,16000,15973,2.204081632653061,1
27,16000,15982,2.204081632653061,1
28,15999,15836,2.231404958677686,1
29,15999,9508,2.231404958677686,1
30,15999,15945,2.240663900414938,1
31,15999,15856,2.240663900414938,1
32,15999,15901,2.25,1
33,15999,15736,2.25,1
34,15999,15991,2.2594142259414225,1
35,15999,15904,2.2594142259414225,1
36,15999,15990,2.2594142259414225,1
37,15999,15997,2.26890756302521,1
38,15999,15949,2.26890756302521,1
39,15999,15971,2.2881355932203387,1
40,15999,19,2.2881355932203387,1
41,15999,15761,2.297872340425532,1
42,15999,15843,2.3076923076923075,1
43,15999,15931,2.3076923076923075,1
44,15999,5401,2.3076923076923075,1
45,15999,15959,2.3175965665236054,1
46,15999,7615,2.3175965665236054,1
47,15999,10695,2.3175965665236054,1
48,15999,15783,2.3175965665236054,1
49,15999,7352,2.3175965665236054,1
50,15999,15968,2.3275862068965516,1
51,15999,15965,2.3275862068965516,1
52,15999,15858,2.3275862068965516,1
53,15999,10620,2.3275862068965516,1
54,15999,15910,2.337662337662338,1
55,15999,15915,2.3478260869565215,1
56,15999,15732,2.3478260869565215,1
57,15999,13879,2.3478260869565215,1
58,15999,88,2.3478260869565215,1
59,15999,15976,2.3580786026200875,1
60,15999,15857,2.3580786026200875,1
61,15999,5946,2.3580786026200875,1
62,15999,6371,2.3684210526315788,1
63,15999,9675,2.3684210526315788,1
64,15999,15861,2.3684210526315788,1
65,15999,44,2.3684210526315788,1
66,15999,15975,2.3788546255506606,1
67,15999,8059,2.3788546255506606,1
68,15999,82,2.3788546255506606,1
69,15999,9137,2.3893805309734515,1
70,15999,15781,2.3893805309734515,1
71,15999,15786,2.3893805309734515,1
72,15999,15842,2.3893805309734515,1
73,15999,5238,2.3893805309734515,1
74,15999,8499,2.3893805309734515,1
75,15999,113,2.3893805309734515,1
76,15999,15899,2.4,1
77,15999,6446,2.4,1
78,15999,10227,2.4107142857142856,1
79,15999,15881,2.42152466367713,1
80,15999,15807,2.42152466367713,1
81,15999,16001,2.42152466367713,15900
82,15999,16002,2.42152466367713,19
83,16001,15737,2.4324324324324325,1
84,16001,15920,2.4324324324324325,1
85,16002,77,2.42152466367713,1
86,16001,9777,2.443438914027149,1
87,16001,15827,2.443438914027149,1
88,16001,15995,2.443438914027149,1
89,16002,55,2.511627906976744,1
90,16001,15925,2.4545454545454546,1
91,16002,86,2.6341463414634143,1
92,16001,57,2.4545454545454546,1
93,16001,7562,2.4545454545454546,1
94,16001,15927,2.4545454545454546,1
95,16002,39,2.783505154639175,1
96,16001,5450,2.4657534246575343,1
97,16001,5507,2.4657534246575343,1
98,16001,15715,2.4657534246575343,1
99,16001,15939,2.4657534246575343,1
100,16002,98,2.7979274611398965,1
101,16001,16003,2.477064220183486,15860
102,16001,16004,2.477064220183486,27
103,16002,3,2.8421052631578947,1
104,16003,15773,2.477064220183486,1
105,16003,15777,2.477064220183486,1
106,16004,15879,2.488479262672811,1
107,16002,92,2.918918918918919,1
108,16003,7930,2.477064220183486,1
109,16004,15905,2.511627906976744,1
110,16002,13,2.967032967032967,1
111,16003,5819,2.477064220183486,1
112,16004,16005,2.547169811320755,19
113,16004,16006,2.547169811320755,6
114,16002,104,3.068181818181818,1
115,16003,15928,2.488479262672811,1
116,16003,15985,2.488479262672811,1
117,16005,15942,2.547169811320755,1
118,16006,15849,2.571428571428571,1
119,16002,50,3.3333333333333335,1
120,16002,65,3.3333333333333335,1
121,16002,115,3.3333333333333335,1
122,16003,15764,2.488479262672811,1
123,16003,117,2.488479262672811,1
124,16003,1,2.488479262672811,1
125,16003,59,2.488479262672811,1
126,16005,15893,2.547169811320755,1
127,16006,15888,2.6341463414634143,1
128,16006,15909,2.6341463414634143,1
129,16006,15873,2.6341463414634143,1
130,16006,15914,2.6341463414634143,1
131,16006,15937,2.6341463414634143,1
132,16002,76,3.4394904458598727,1
133,16003,15809,2.5,1
134,16003,15987,2.5,1
135,16005,15916,2.547169811320755,1
136,16002,60,3.552631578947368,1
137,16003,15784,2.5,1
138,16005,15943,2.583732057416268,1
139,16002,8,3.6734693877551026,1
140,16002,81,3.6734693877551026,1
141,16002,109,3.6734693877551026,1
142,16002,25,3.6734693877551026,1
143,16002,30,3.6734693877551026,1
144,16003,16007,2.5,15842
145,16003,16008,2.5,5
146,16005,15863,2.6470588235294117,1
147,16007,15885,2.511627906976744,1
148,16008,5942,2.5,1
149,16008,8056,2.5,1
150,16008,8685,2.5,1
151,16008,10104,2.5,1
152,16008,11265,2.5,1
153,16005,15875,2.6732673267326734,1
154,16007,15762,2.511627906976744,1
155,16007,15882,2.511627906976744,1
156,16005,15867,2.6732673267326734,1
157,16007,10202,2.511627906976744,1
158,16005,15829,2.6732673267326734,1
159,16007,6999,2.511627906976744,1
160,16005,15921,2.7135678391959797,1
161,16007,6582,2.511627906976744,1
162,16005,15933,2.7135678391959797,1
163,16007,5848,2.511627906976744,1
164,16005,15880,2.7411167512690358,1
165,16007,16009,2.5233644859813085,15830
166,16007,16010,2.5233644859813085,5
167,16005,15869,2.783505154639175,1
168,16009,5506,2.5233644859813085,1
169,16009,5626,2.5233644859813085,1
170,16009,7206,2.5233644859813085,1
171,16010,15854,2.5233644859813085,1
172,16010,13859,2.5233644859813085,1
173,16010,9722,2.5233644859813085,1
174,16010,10429,2.5233644859813085,1
175,16010,15930,2.5233644859813085,1
176,16005,15938,2.7979274611398965,1
177,16009,16011,2.535211267605634,15818
178,16009,16012,2.535211267605634,9
179,16005,15851,2.857142857142857,1
180,16011,10107,2.547169811320755,1
181,16011,15719,2.547169811320755,1
182,16011,15852,2.547169811320755,1
183,16011,15952,2.547169811320755,1
184,16012,37,2.535211267605634,1
185,16005,15895,2.872340425531915,1
186,16005,15839,2.872340425531915,1
187,16005,15890,2.872340425531915,1
188,16005,15911,2.872340425531915,1
189,16005,15845,2.872340425531915,1
190,16011,16013,2.5592417061611377,15809
191,16011,16014,2.5592417061611377,5
192,16012,5212,2.535211267605634,1
193,16012,6182,2.535211267605634,1
194,16013,2959,2.5592417061611377,1
195,16013,6768,2.5592417061611377,1
196,16014,15709,2.5592417061611377,1
197,16014,15725,2.5592417061611377,1
198,16014,15866,2.5592417061611377,1
199,16014,15740,2.5592417061611377,1
200,16014,15745,2.5592417061611377,1
201,16012,15944,2.535211267605634,1
202,16013,15924,2.571428571428571,1
203,16012,9472,2.535211267605634,1
204,16012,9691,2.535211267605634,1
205,16012,11023,2.535211267605634,1
206,16012,15723,2.535211267605634,1
207,16012,15758,2.535211267605634,1
208,16013,15897,2.571428571428571,1
209,16013,15826,2.571428571428571,1
