,0
0,-1
1,-1
2,39
3,1
4,8
5,-1
6,61
7,282
8,1
9,-1
10,10
11,-1
12,-1
13,1
14,-1
15,10
16,304
17,-1
18,282
19,-1
20,287
21,10
22,-1
23,61
24,-1
25,1
26,10
27,-1
28,-1
29,-1
30,1
31,-1
32,10
33,-1
34,-1
35,-1
36,10
37,6
38,15
39,1
40,-1
41,10
42,-1
43,-1
44,-1
45,-1
46,10
47,-1
48,-1
49,218
50,1
51,-1
52,10
53,-1
54,324
55,1
56,-1
57,-1
58,-1
59,-1
60,1
61,287
62,10
63,-1
64,324
65,1
66,-1
67,10
68,-1
69,-1
70,-1
71,155
72,-1
73,-1
74,-1
75,-1
76,1
77,1
78,-1
79,-1
80,-1
81,1
82,-1
83,10
84,-1
85,35
86,1
87,-1
88,-1
89,-1
90,-1
91,159
92,1
93,-1
94,10
95,-1
96,-1
97,-1
98,1
99,257
100,10
101,-1
102,-1
103,-1
104,1
105,-1
106,181
107,-1
108,287
109,1
110,155
111,10
112,-1
113,-1
114,-1
115,1
116,-1
117,-1
118,-1
119,85
120,-1
121,112
122,-1
123,41
124,-1
125,-1
126,502
127,-1
128,-1
129,41
130,-1
131,85
132,488
133,112
134,175
135,41
136,282
137,85
138,-1
139,-1
140,41
141,265
142,513
143,112
144,-1
145,41
146,85
147,513
148,112
149,282
150,41
151,477
152,85
153,-1
154,112
155,457
156,287
157,85
158,-1
159,112
160,304
161,41
162,85
163,-1
164,112
165,-1
166,41
167,509
168,85
169,502
170,112
171,-1
172,41
173,370
174,-1
175,112
176,-1
177,41
178,-1
179,85
180,503
181,-1
182,435
183,112
184,-1
185,41
186,-1
187,85
188,-1
189,113
190,386
191,41
192,394
193,85
194,-1
195,112
196,-1
197,41
198,334
199,85
200,-1
201,112
202,155
203,41
204,-1
205,-1
206,112
207,-1
208,41
209,-1
210,85
211,477
212,112
213,41
214,513
215,112
216,304
217,41
218,-1
219,85
220,-1
221,112
222,185
223,41
224,401
225,85
226,-1
227,112
228,-1
229,41
230,-1
231,85
232,-1
233,112
234,457
235,41
236,-1
237,85
238,-1
239,112
240,-1
241,41
242,499
243,85
244,-1
245,112
246,318
247,41
248,355
249,85
250,491
251,112
252,41
253,85
254,-1
255,-1
256,41
257,453
258,85
259,462
260,112
261,457
262,41
263,387
264,85
265,-1
266,441
267,41
268,479
269,85
270,498
271,112
272,482
273,41
274,-1
275,85
276,-1
277,112
278,439
279,41
280,499
281,85
282,-1
283,112
284,414
285,41
286,341
287,85
288,384
289,112
290,370
291,41
292,-1
293,85
294,-1
295,112
296,41
297,501
298,-1
299,-1
300,41
301,501
302,85
303,394
304,112
305,41
306,378
307,85
308,112
309,-1
310,41
311,-1
312,85
313,483
314,112
315,-1
316,41
317,-1
318,85
319,-1
320,112
321,446
322,350
323,85
324,350
325,112
326,-1
327,41
328,-1
329,85
330,324
331,112
332,378
333,506
334,85
335,-1
336,112
337,478
338,41
339,501
340,85
341,112
342,411
343,41
344,509
345,85
346,502
347,-1
348,41
349,-1
350,85
351,462
352,112
353,486
354,41
355,-1
356,-1
357,-1
358,-1
359,370
360,41
361,288
362,85
363,477
364,112
365,-1
366,-1
367,85
368,112
369,-1
370,41
371,505
372,85
373,502
374,112
375,41
376,-1
377,85
378,-1
379,112
380,-1
381,41
382,475
383,85
384,-1
385,112
386,-1
387,41
388,-1
389,85
390,-1
391,112
392,-1
393,41
394,475
395,85
396,513
397,112
398,449
399,-1
400,112
401,457
402,41
403,414
404,85
405,-1
406,41
407,-1
408,85
409,-1
410,112
411,370
412,41
413,334
414,85
415,-1
416,112
417,446
418,304
419,85
420,-1
421,112
422,430
423,41
424,-1
425,85
426,513
427,112
428,370
429,41
430,-1
431,85
432,453
433,112
434,55
435,41
436,509
437,85
438,-1
439,470
440,41
441,85
442,-1
443,112
444,411
445,41
446,85
447,-1
448,112
449,478
450,41
451,327
452,85
453,453
454,112
455,384
456,41
457,329
458,85
459,-1
460,41
461,85
462,-1
463,112
464,457
465,-1
466,499
467,85
468,489
469,112
470,457
471,41
472,370
473,85
474,489
475,112
476,41
477,485
478,85
479,-1
480,61
481,471
482,41
483,427
484,85
485,-1
486,112
487,457
488,41
489,-1
490,85
491,-1
492,-1
493,41
494,474
495,85
496,-1
497,112
498,487
499,41
500,-1
501,85
502,324
503,112
504,-1
505,41
506,-1
507,85
508,-1
509,112
510,329
511,41
512,341
513,-1
514,-1
515,411
516,41
517,282
518,85
519,-1
520,112
521,40
522,41
523,-1
524,85
525,513
526,112
527,457
528,41
529,190
530,85
531,-1
532,112
533,41
534,499
535,85
536,513
537,112
538,457
539,41
540,-1
541,85
542,334
543,112
544,370
545,41
546,-1
547,85
548,329
549,112
550,-1
551,41
552,-1
553,85
554,-1
555,-1
556,277
557,41
558,-1
559,85
560,329
561,112
562,267
563,41
564,-1
565,503
566,-1
567,41
568,-1
569,85
570,-1
571,-1
572,384
573,41
574,85
575,477
576,112
577,-1
578,41
579,499
580,85
581,-1
582,112
583,457
584,41
585,-1
586,85
587,-1
588,112
589,-1
590,41
591,384
592,85
593,495
594,112
595,-1
596,41
597,350
598,-1
599,112
600,-1
601,41
602,288
603,85
604,267
605,-1
606,-1
607,41
608,-1
609,-1
610,384
611,112
612,-1
613,41
614,175
615,85
616,347
617,-1
618,41
619,435
620,85
621,-1
622,112
623,487
624,41
625,475
626,85
627,-1
628,-1
629,41
630,-1
631,85
632,390
633,112
634,41
635,329
636,85
637,-1
638,112
639,329
640,41
641,501
642,85
643,-1
644,112
645,-1
646,41
647,85
648,502
649,-1
650,41
651,479
652,85
653,498
654,-1
655,41
656,-1
657,85
658,-1
659,112
660,41
661,-1
662,85
663,-1
664,112
665,324
666,41
667,324
668,85
669,453
670,112
671,-1
672,41
673,-1
674,85
675,513
676,112
677,41
678,-1
679,85
680,335
681,112
682,394
683,41
684,-1
685,85
686,-1
687,112
688,352
689,41
690,-1
691,85
692,489
693,112
694,-1
695,41
696,499
697,85
698,513
699,112
700,449
701,41
702,85
703,341
704,112
705,487
706,41
707,-1
708,-1
709,112
710,478
711,41
712,350
713,85
714,-1
715,112
716,-1
717,41
718,-1
719,85
720,510
721,112
722,-1
723,41
724,397
725,85
726,-1
727,112
728,352
729,41
730,85
731,-1
732,112
733,370
734,41
735,85
736,-1
737,112
738,-1
739,41
740,-1
741,85
742,55
743,112
744,189
745,41
746,-1
747,334
748,-1
749,-1
750,41
751,-1
752,85
753,507
754,112
755,430
