;0;1
0;2256;1.0
1;2257;1.0
3;2259;1.0
4;2260;1.0
5;2261;1.0
6;3054;1.0
7;3055;1.0
9;3057;1.0
10;3058;1.0
11;3059;1.0
12;11874;1.0
13;11875;1.0
14;11876;1.0
16;11878;1.0
17;11879;1.0
18;16932;1.0
19;16933;1.0
20;16934;1.0
21;16935;1.0
22;16936;1.0
23;16937;1.0
24;20094;1.0
25;20095;1.0
26;20096;1.0
27;20097;1.0
28;20098;1.0
29;20099;1.0
30;23742;1.0
31;23743;1.0
32;23744;1.0
33;23745;1.0
34;23746;1.0
35;23747;1.0
36;34050;1.0
37;34051;1.0
38;34052;1.0
39;34053;1.0
40;34054;1.0
41;34055;1.0
42;38514;1.0
43;38515;1.0
44;38516;1.0
46;38518;1.0
47;38519;1.0
48;39204;1.0
49;39205;1.0
50;39206;1.0
51;39207;1.0
52;39208;1.0
53;39209;1.0
54;43554;1.0
55;43555;1.0
56;43556;1.0
57;43557;1.0
58;43558;1.0
59;43559;1.0
60;52362;1.0
61;52363;1.0
62;52364;1.0
64;52366;1.0
65;52367;1.0
66;55560;1.0
67;55561;1.0
68;55562;1.0
69;55563;1.0
70;55564;1.0
72;61728;1.0
73;61729;1.0
74;61730;1.0
75;61731;1.0
76;61732;1.0
77;61733;1.0
79;73483;1.0
80;73484;1.0
82;73486;1.0
83;73487;1.0
84;75564;1.0
85;75565;1.0
86;75566;1.0
87;75567;1.0
88;75568;1.0
89;75569;1.0
90;76674;1.0
91;76675;1.0
92;76676;1.0
93;76677;1.0
94;76678;1.0
95;76679;1.0
96;80094;1.0
97;80095;1.0
98;80096;1.0
99;80097;1.0
101;80099;1.0
102;82176;1.0
103;82177;1.0
104;82178;1.0
105;82179;1.0
106;82180;1.0
107;82181;1.0
108;83190;1.0
109;83191;1.0
111;83193;1.0
112;83194;1.0
113;83195;1.0
114;86736;1.0
115;86737;1.0
116;86738;1.0
117;86739;1.0
118;86740;1.0
120;88140;1.0
121;88141;1.0
122;88142;1.0
123;88143;1.0
124;88144;1.0
125;88145;1.0
126;91590;1.0
127;91591;1.0
128;91592;1.0
129;91593;1.0
130;91594;1.0
131;91595;1.0
132;102402;1.0
133;102403;1.0
134;102404;1.0
137;102407;1.0
138;103200;1.0
139;103201;1.0
141;103203;1.0
142;103204;1.0
143;103205;1.0
144;112020;1.0
145;112021;1.0
146;112022;1.0
147;112023;1.0
149;112025;1.0
150;117078;1.0
151;117079;1.0
152;117080;1.0
153;117081;1.0
154;117082;1.0
155;117083;1.0
156;120240;1.0
158;120242;1.0
160;120244;1.0
161;120245;1.0
162;123888;1.0
163;123889;1.0
164;123890;1.0
165;123891;1.0
166;123892;1.0
167;123893;1.0
170;134198;1.0
171;134199;1.0
172;134200;1.0
173;134201;1.0
174;138660;1.0
175;138661;1.0
176;138662;1.0
177;138663;1.0
178;138664;1.0
179;138665;1.0
180;139350;1.0
181;139351;1.0
182;139352;1.0
184;139354;1.0
185;139355;1.0
187;143701;1.0
188;143702;1.0
189;143703;1.0
190;143704;1.0
191;143705;1.0
192;152508;1.0
193;152509;1.0
194;152510;1.0
195;152511;1.0
196;152512;1.0
198;155706;1.0
199;155707;1.0
200;155708;1.0
201;155709;1.0
202;155710;1.0
203;155711;1.0
204;161874;1.0
205;161875;1.0
206;161876;1.0
207;161877;1.0
208;161878;1.0
209;161879;1.0
210;173628;1.0
211;173629;1.0
212;173630;1.0
213;173631;1.0
214;173632;1.0
215;173633;1.0
216;175710;1.0
217;175711;1.0
218;175712;1.0
219;175713;1.0
220;175714;1.0
222;176820;1.0
223;176821;1.0
224;176822;1.0
225;176823;1.0
226;176824;1.0
227;176825;1.0
228;180240;1.0
229;180241;1.0
230;180242;1.0
231;180243;1.0
233;180245;1.0
234;182322;1.0
235;182323;1.0
236;182324;1.0
238;182326;1.0
239;182327;1.0
240;183336;1.0
241;183337;1.0
242;183338;1.0
243;183339;1.0
244;183340;1.0
245;183341;1.0
246;186882;1.0
248;186884;1.0
249;186885;1.0
250;186886;1.0
251;186887;1.0
252;188286;1.0
253;188287;1.0
254;188288;1.0
255;188289;1.0
256;188290;1.0
257;188291;1.0
258;191736;1.0
259;191737;1.0
260;191738;1.0
261;191739;1.0
262;191740;1.0
