;0;1
0;3018;1.0
1;3019;1.0
2;3020;1.0
3;3021;1.0
5;3023;1.0
6;18450;1.0
7;18451;1.0
8;18452;1.0
9;18453;1.0
10;18454;1.0
11;18455;1.0
13;21835;1.0
15;21837;1.0
18;28590;1.0
19;28591;1.0
20;28592;1.0
21;28593;1.0
22;28594;1.0
23;28595;1.0
24;40704;1.0
25;40705;1.0
27;40707;1.0
28;40708;1.0
29;40709;1.0
30;58140;1.0
31;58141;1.0
32;58142;1.0
33;58143;1.0
34;58144;1.0
35;58145;1.0
36;64164;1.0
37;64165;1.0
38;64166;1.0
39;64167;1.0
40;64168;1.0
41;64169;1.0
42;66000;1.0
43;66001;1.0
44;66002;1.0
45;66003;1.0
46;66004;1.0
47;66005;1.0
48;68160;1.0
49;68161;1.0
50;68162;1.0
51;68163;1.0
52;68164;1.0
53;68165;1.0
54;71208;1.0
55;71209;1.0
56;71210;1.0
57;71211;1.0
58;71212;1.0
59;71213;1.0
60;90000;1.0
61;90001;1.0
62;90002;1.0
63;90003;1.0
65;90005;1.0
