;0;1
0;102;1.0
1;103;1.0
2;104;1.0
3;105;1.0
4;106;1.0
5;107;1.0
6;234;1.0
7;235;1.0
8;236;1.0
9;237;1.0
10;238;1.0
12;1146;1.0
13;1147;1.0
14;1148;1.0
15;1149;1.0
16;1150;1.0
17;1151;1.0
18;1182;1.0
19;1183;1.0
20;1184;1.0
21;1185;1.0
22;1186;1.0
23;1187;1.0
24;1482;1.0
25;1483;1.0
26;1484;1.0
27;1485;1.0
29;1487;1.0
30;1842;1.0
31;1843;1.0
32;1844;1.0
33;1845;1.0
34;1846;1.0
35;1847;1.0
36;1848;1.0
37;1849;1.0
38;1850;1.0
39;1851;1.0
40;1852;1.0
41;1853;1.0
42;1860;1.0
43;1861;1.0
44;1862;1.0
45;1863;1.0
46;1864;1.0
47;1865;1.0
48;1902;1.0
49;1903;1.0
52;1906;1.0
53;1907;1.0
54;2058;1.0
55;2059;1.0
56;2060;1.0
57;2061;1.0
58;2062;1.0
60;2280;1.0
61;2281;1.0
62;2282;1.0
63;2283;1.0
64;2284;1.0
65;2285;1.0
66;2292;1.0
67;2293;1.0
68;2294;1.0
69;2295;1.0
70;2296;1.0
71;2297;1.0
73;2341;1.0
74;2342;1.0
75;2343;1.0
76;2344;1.0
77;2345;1.0
78;2526;1.0
80;2528;1.0
81;2529;1.0
82;2530;1.0
83;2531;1.0
84;2556;1.0
85;2557;1.0
86;2558;1.0
87;2559;1.0
88;2560;1.0
89;2561;1.0
90;2586;1.0
91;2587;1.0
93;2589;1.0
94;2590;1.0
95;2591;1.0
96;2700;1.0
97;2701;1.0
98;2702;1.0
101;2705;1.0
102;2772;1.0
103;2773;1.0
104;2774;1.0
105;2775;1.0
106;2776;1.0
107;2777;1.0
108;2784;1.0
109;2785;1.0
110;2786;1.0
111;2787;1.0
113;2789;1.0
114;2964;1.0
115;2965;1.0
116;2966;1.0
118;2968;1.0
119;2969;1.0
120;3036;1.0
121;3037;1.0
122;3038;1.0
123;3039;1.0
124;3040;1.0
125;3041;1.0
126;3054;1.0
127;3055;1.0
128;3056;1.0
129;3057;1.0
130;3058;1.0
131;3059;1.0
132;3156;1.0
133;3157;1.0
134;3158;1.0
135;3159;1.0
136;3160;1.0
137;3161;1.0
138;3204;1.0
139;3205;1.0
140;3206;1.0
141;3207;1.0
142;3208;1.0
143;3209;1.0
144;3492;1.0
146;3494;1.0
147;3495;1.0
148;3496;1.0
149;3497;1.0
150;3768;1.0
151;3769;1.0
153;3771;1.0
154;3772;1.0
157;3799;1.0
158;3800;1.0
159;3801;1.0
160;3802;1.0
161;3803;1.0
162;3960;1.0
164;3962;1.0
165;3963;1.0
166;3964;1.0
167;3965;1.0
168;4134;1.0
169;4135;1.0
170;4136;1.0
171;4137;1.0
172;4138;1.0
173;4139;1.0
174;4182;1.0
175;4183;1.0
176;4184;1.0
177;4185;1.0
178;4186;1.0
179;4187;1.0
180;4206;1.0
181;4207;1.0
182;4208;1.0
184;4210;1.0
185;4211;1.0
186;4488;1.0
187;4489;1.0
188;4490;1.0
189;4491;1.0
190;4492;1.0
192;4788;1.0
193;4789;1.0
194;4790;1.0
195;4791;1.0
196;4792;1.0
197;4793;1.0
198;4830;1.0
199;4831;1.0
200;4832;1.0
201;4833;1.0
202;4834;1.0
203;4835;1.0
204;4860;1.0
205;4861;1.0
207;4863;1.0
208;4864;1.0
209;4865;1.0
211;4927;1.0
212;4928;1.0
213;4929;1.0
214;4930;1.0
216;5106;1.0
217;5107;1.0
218;5108;1.0
220;5110;1.0
221;5111;1.0
222;5268;1.0
223;5269;1.0
224;5270;1.0
225;5271;1.0
226;5272;1.0
227;5273;1.0
228;5412;1.0
229;5413;1.0
231;5415;1.0
232;5416;1.0
233;5417;1.0
234;5454;1.0
235;5455;1.0
236;5456;1.0
237;5457;1.0
238;5458;1.0
240;5580;1.0
241;5581;1.0
242;5582;1.0
243;5583;1.0
244;5584;1.0
245;5585;1.0
246;5598;1.0
247;5599;1.0
248;5600;1.0
251;5603;1.0
252;5820;1.0
254;5822;1.0
255;5823;1.0
256;5824;1.0
257;5825;1.0
258;5862;1.0
259;5863;1.0
260;5864;1.0
261;5865;1.0
262;5866;1.0
263;5867;1.0
265;6019;1.0
266;6020;1.0
267;6021;1.0
268;6022;1.0
270;6024;1.0
271;6025;1.0
272;6026;1.0
273;6027;1.0
274;6028;1.0
276;6324;1.0
278;6326;1.0
279;6327;1.0
280;6328;1.0
281;6329;1.0
283;6337;1.0
284;6338;1.0
286;6340;1.0
287;6341;1.0
288;6492;1.0
289;6493;1.0
290;6494;1.0
291;6495;1.0
292;6496;1.0
293;6497;1.0
294;6714;1.0
295;6715;1.0
296;6716;1.0
297;6717;1.0
301;7087;1.0
302;7088;1.0
303;7089;1.0
304;7090;1.0
305;7091;1.0
306;7098;1.0
307;7099;1.0
308;7100;1.0
309;7101;1.0
310;7102;1.0
311;7103;1.0
312;7164;1.0
313;7165;1.0
314;7166;1.0
315;7167;1.0
316;7168;1.0
317;7169;1.0
318;7188;1.0
319;7189;1.0
320;7190;1.0
322;7192;1.0
323;7193;1.0
324;7200;1.0
325;7201;1.0
326;7202;1.0
327;7203;1.0
328;7204;1.0
329;7205;1.0
330;7344;1.0
331;7345;1.0
332;7346;1.0
333;7347;1.0
334;7348;1.0
335;7349;1.0
336;7392;1.0
337;7393;1.0
338;7394;1.0
339;7395;1.0
340;7396;1.0
342;7434;1.0
343;7435;1.0
344;7436;1.0
346;7438;1.0
347;7439;1.0
348;7482;1.0
350;7484;1.0
351;7485;1.0
353;7487;1.0
354;7494;1.0
355;7495;1.0
356;7496;1.0
357;7497;1.0
359;7499;1.0
360;7536;1.0
361;7537;1.0
362;7538;1.0
363;7539;1.0
364;7540;1.0
365;7541;1.0
366;7590;1.0
367;7591;1.0
368;7592;1.0
369;7593;1.0
370;7594;1.0
371;7595;1.0
372;7614;1.0
373;7615;1.0
374;7616;1.0
376;7618;1.0
377;7619;1.0
378;7626;1.0
379;7627;1.0
380;7628;1.0
381;7629;1.0
382;7630;1.0
383;7631;1.0
384;7650;1.0
385;7651;1.0
386;7652;1.0
387;7653;1.0
388;7654;1.0
389;7655;1.0
390;7788;1.0
391;7789;1.0
394;7792;1.0
395;7793;1.0
396;7794;1.0
397;7795;1.0
398;7796;1.0
400;7798;1.0
401;7799;1.0
403;7927;1.0
404;7928;1.0
405;7929;1.0
406;7930;1.0
407;7931;1.0
408;7962;1.0
409;7963;1.0
410;7964;1.0
411;7965;1.0
412;7966;1.0
413;7967;1.0
414;8004;1.0
416;8006;1.0
417;8007;1.0
418;8008;1.0
419;8009;1.0
420;8112;1.0
421;8113;1.0
422;8114;1.0
423;8115;1.0
424;8116;1.0
425;8117;1.0
427;8503;1.0
428;8504;1.0
429;8505;1.0
430;8506;1.0
431;8507;1.0
432;8616;1.0
433;8617;1.0
434;8618;1.0
435;8619;1.0
436;8620;1.0
437;8621;1.0
438;8730;1.0
439;8731;1.0
440;8732;1.0
441;8733;1.0
443;8735;1.0
444;8838;1.0
445;8839;1.0
446;8840;1.0
448;8842;1.0
449;8843;1.0
450;8928;1.0
451;8929;1.0
452;8930;1.0
453;8931;1.0
454;8932;1.0
455;8933;1.0
456;9024;1.0
457;9025;1.0
458;9026;1.0
459;9027;1.0
460;9028;1.0
461;9029;1.0
462;9366;1.0
463;9367;1.0
464;9368;1.0
465;9369;1.0
466;9370;1.0
467;9371;1.0
468;9384;1.0
469;9385;1.0
470;9386;1.0
471;9387;1.0
472;9388;1.0
473;9389;1.0
474;9570;1.0
475;9571;1.0
476;9572;1.0
478;9574;1.0
479;9575;1.0
480;9732;1.0
481;9733;1.0
482;9734;1.0
483;9735;1.0
484;9736;1.0
